          DH  INJV           Xt           Mt          XMt          NDH
   -38.43416  10.0      0.00000      0.00000      0.00000      0.00000
   -38.43416  10.0      0.00000      0.00000      0.00000      0.00000
   -38.50534  10.0      0.00000      0.00000      0.00000      0.00000
   -37.86477  10.0      0.00000      0.00000      0.00000      0.00000
   -37.22420  10.0      0.00000      0.00000      0.00000      0.00000
   -35.37367  10.0      0.00000      0.00000      0.00000      0.00000
   -32.81139  10.0      0.00000      0.00000      0.00000      0.00000
   -30.46263  10.0      0.00000      0.00000      0.00000      0.00000
   -26.69039  10.0      0.00000      0.00000      0.00000      0.00000
   -25.19573  10.0      0.00000      0.00000      0.00000      0.00000
   -23.55872  10.0      0.00000      0.00000      0.00000      0.00000
   -22.13523  10.0      0.00000      0.00000      0.00000      0.00000
   -20.99644  10.0      0.00000      0.00000      0.00000      0.00000
   -19.78648  10.0      0.00000      0.00000      0.00000      0.00000
   -19.35943  10.0      0.00000      0.00000      0.00000      0.00000
   -17.36655  10.0      0.00000      0.00000      0.00000      0.00000
   -10.17794  10.0      0.00000      0.00000      0.00000      0.00000
    -3.91459  10.0      0.00000      0.00000      0.00000      0.00000
    -2.13523  10.0      0.00000      0.00000      0.00000      0.00000
    -0.56940  10.0      0.00000      0.00000      0.00000      0.00000
    -0.35587  10.0      0.00000      0.00000      0.00000      0.00000
     0.07117  10.0      0.00000      0.00000      0.00000      0.00000
    -0.07117  10.0      0.00000      0.00000      0.00000      0.00000
    -0.00000  10.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
